table,fiscal_year,match,N
cashflow_B,2015,both,2890
cashflow_B,2016,left_only,112
cashflow_B,2016,both,3223
cashflow_B,2017,left_only,101
cashflow_B,2017,both,3624
cashflow_B,2018,left_only,87
cashflow_B,2018,both,3744
cashflow_B,2019,left_only,80
cashflow_B,2019,both,3959
cashflow_B,2020,left_only,84
cashflow_B,2020,both,4412
cashflow_B,2021,left_only,84
cashflow_B,2021,both,4838
cashflow_B,2022,left_only,84
cashflow_B,2022,both,5109
cashflow_B,2023,left_only,70
cashflow_B,2023,both,5285
cashflow_B,2024,left_only,63
cashflow_B,2024,both,5338
cashflow_B,2025,left_only,58
cashflow_B,2025,both,5436
market,2014,left_only,108
market,2014,right_only,2
market,2014,both,2590
market,2015,left_only,190
market,2015,right_only,5
market,2015,both,2806
market,2016,left_only,305
market,2016,right_only,3
market,2016,both,3030
market,2017,left_only,264
market,2017,right_only,4
market,2017,both,3461
market,2018,left_only,270
market,2018,right_only,9
market,2018,both,3561
market,2019,left_only,286
market,2019,right_only,14
market,2019,both,3753
market,2020,left_only,324
market,2020,right_only,23
market,2020,both,4172
market,2021,left_only,245
market,2021,right_only,24
market,2021,both,4677
market,2022,left_only,135
market,2022,right_only,51
market,2022,both,5058
market,2023,left_only,33
market,2023,right_only,58
market,2023,both,5322
market,2024,left_only,31
market,2024,right_only,62
market,2024,both,5370
market,2025,left_only,32
market,2025,right_only,38
market,2025,both,5462
ownership,2014,left_only,69
ownership,2014,both,2631
ownership,2015,left_only,178
ownership,2015,both,2823
ownership,2016,left_only,220
ownership,2016,both,3118
ownership,2017,left_only,235
ownership,2017,both,3494
ownership,2018,left_only,250
ownership,2018,both,3590
ownership,2019,left_only,256
ownership,2019,both,3797
ownership,2020,left_only,269
ownership,2020,both,4250
ownership,2021,left_only,184
ownership,2021,both,4762
ownership,2022,left_only,109
ownership,2022,both,5135
ownership,2023,left_only,59
ownership,2023,both,5354
ownership,2024,left_only,63
ownership,2024,both,5400
ownership,2025,left_only,38
ownership,2025,both,5494
governance,2014,left_only,69
governance,2014,both,2631
governance,2015,left_only,178
governance,2015,both,2823
governance,2016,left_only,220
governance,2016,both,3118
governance,2017,left_only,235
governance,2017,both,3494
governance,2018,left_only,250
governance,2018,both,3590
governance,2019,left_only,256
governance,2019,both,3797
governance,2020,left_only,269
governance,2020,both,4250
governance,2021,left_only,184
governance,2021,both,4762
governance,2022,left_only,109
governance,2022,both,5135
governance,2023,left_only,59
governance,2023,both,5354
governance,2024,left_only,63
governance,2024,both,5400
governance,2025,left_only,38
governance,2025,both,5494
disclosure,2014,left_only,67
disclosure,2014,both,2633
disclosure,2015,left_only,178
disclosure,2015,both,2823
disclosure,2016,left_only,218
disclosure,2016,both,3120
disclosure,2017,left_only,235
disclosure,2017,both,3494
disclosure,2018,left_only,248
disclosure,2018,both,3592
disclosure,2019,left_only,253
disclosure,2019,both,3800
disclosure,2020,left_only,211
disclosure,2020,both,4308
disclosure,2021,left_only,179
disclosure,2021,both,4767
disclosure,2022,left_only,103
disclosure,2022,both,5141
disclosure,2023,left_only,46
disclosure,2023,both,5367
disclosure,2024,left_only,51
disclosure,2024,both,5412
disclosure,2025,left_only,32
disclosure,2025,both,5500
top1,2014,left_only,69
top1,2014,both,2631
top1,2015,left_only,178
top1,2015,both,2823
top1,2016,left_only,220
top1,2016,both,3118
top1,2017,left_only,235
top1,2017,both,3494
top1,2018,left_only,250
top1,2018,both,3590
top1,2019,left_only,256
top1,2019,both,3797
top1,2020,left_only,268
top1,2020,both,4251
top1,2021,left_only,184
top1,2021,both,4762
top1,2022,left_only,109
top1,2022,both,5135
top1,2023,left_only,59
top1,2023,both,5354
top1,2024,left_only,63
top1,2024,both,5400
top1,2025,left_only,38
top1,2025,both,5494
